applid,coreproject,pmid
10402169,UG3DA048502,34589887
10459812,UG3DA048502,32916852
10227130,UG3DA048386,33113208
10149265,UG3DA048386,33215913
9993692,UG3DA048386,32283290
10251366,UG3DA048385,32098843
10459732,UG3DA048379,34213886
10459732,UG3DA048379,29649035
10450923,UG3DA048379,32930582
10459732,UG3DA048379,32424771
10450923,UG3DA048379,34680158
10459732,UG3DA048379,33033993
10303378,UG3DA048353,33384303
10303378,UG3DA048353,32693425
10303378,UG3DA048353,30997725
10303378,UG3DA048353,30738085
10303378,UG3DA048353,31707106
10303378,UG3DA048353,31838282
10403754,UG3DA048353,32889450
10303378,UG3DA048353,31103778
10303378,UG3DA048353,32380144
10303378,UG3DA048353,33956427
10303378,UG3DA048353,32205338
10303378,UG3DA048353,33620222
10303378,UG3DA048353,33635670
10303378,UG3DA048353,32113032
10303378,UG3DA048353,32209809
10403754,UG3DA048353,31098655
10303378,UG3DA048353,30861005
10303378,UG3DA048353,30712397
10403754,UG3DA048353,31834797
10303378,UG3DA048353,30650314
10303378,UG3DA048353,32092237
10303378,UG3DA048353,33344889
10403754,UG3DA048353,33860918
10403754,UG3DA048353,33847897
10303378,UG3DA048353,34467758
10303378,UG3DA048353,34242797
10403754,UG3DA048353,32690626
9830397,UG3DA048351,32228108
10267535,UG3DA048351,34179783
10267535,UG3DA048351,32876947
10267535,UG3DA048351,34076427
9830397,UG3DA048351,34693882
10267535,UG3DA048351,34205869
10267535,UG3DA048351,32787282
9918310,UG3DA047717,33079736
10373528,UG3DA047717,34452239
10411343,UG3DA047717,33108267
9918310,UG3DA047717,34363827
9918310,UG3DA047717,33031872
10459732,UG3DA047717,33170687
9993692,UG3DA047711,34126123
10227130,UG3DA047711,33113208
9993692,UG3DA047711,32283290
10251374,UG3DA047700,31927265
10404154,UG3DA047680,33117893
10404154,UG3DA047680,33682145
10473047,UG3AT011265,34080441
10400307,UG3AT010739,34104574
10442798,UG3AT010621,34455111
10271400,UG3AR077360,32053202
10472339,UG3AR077360,33313726
10271400,UG3AR077360,31806096
10401701,UG3AR076573,31913193
10254295,UG3AR076387,34597383
10454450,UG3AR076387,32694387
10174456,UH3NS113661,33872423
10228100,UH3NS113661,32991247
10399849,UH2AR076741,32169011
10317687,UH2AR076724,32060963
10399813,UH2AR076724,33290407
10399813,UH2AR076724,33496787
10268200,UH2AR076724,34845751
10451077,UH2AR076719,32982989
10399813,UH2AR076719,32592504
10399813,UH2AR076719,33547944
10348860,UG3TR003150,34275292
10348860,UG3TR003150,34452921
10440230,UG3TR003149,32753408
10387137,UG3TR003149,32224158
10387137,UG3TR003149,32429423
10435316,UG3TR003148,33245509
10435316,UG3TR003148,33043130
10435316,UG3TR003148,34319675
10472876,UG3TR003148,33690979
10435316,UG3TR003148,32350379
10435316,UG3TR003148,32623181
10435316,UG3TR003148,32623788
10435316,UG3TR003148,31988461
10435316,UG3TR003148,34178414
10472876,UG3TR003148,33059333
10435316,UG3TR003148,32142662
10387104,UG3TR003090,33957072
10387104,UG3TR003090,34510139
10434624,UG3TR003090,33403944
10387104,UG3TR003090,33086121
10387104,UG3TR003090,33048854
9888896,UG3NS114947,33463473
9888896,UG3NS114947,32439072
10262845,UG3HD102038,33090744
10264717,UG3HD102038,34330321
10262845,UG3HD102038,33071433
9968676,UG3DA050923,34549091
10419922,UG3DA050325,34802173
10419922,UG3DA050325,33229892
10419922,UG3DA050325,33285178
10168769,UG3DA050317,34454912
10175594,UG3DA050311,33766769
10400320,UG3DA050311,32897695
10267562,UG3DA050311,33024318
10400320,UG3DA050311,31743739
10175594,UG3DA050311,33075471
10175594,UG3DA050311,33100417
10400320,UG3DA050311,33631465
10244062,UG3DA050311,34145403
10175594,UG3DA050311,32652312
10205279,UG3DA050311,33705855
10400320,UG3DA050311,33590767
10175594,UG3DA050311,31932466
10392588,UG3DA050306,33440171
10397259,UG3DA050252,33147656
10301422,UG3DA050252,33845029
10474728,UM1DA049417,33091842
10146328,UM1DA049417,33691249
10400445,UM1DA049417,33152673
10400445,UM1DA049417,33091843
10474728,UM1DA049417,33070058
10400445,UM1DA049417,33248391
10400445,UM1DA049417,33761404
10400445,UM1DA049417,34499540
10400445,UM1DA049417,33152672
10474728,UM1DA049417,33086156
